system:index,elevation_m,index,latitude,longitude,pet_mm,pr_annual_range_mm_mean,pr_mm,temp_annual_range_C_mean,tmean_C,vpd_kPa,.geo
000000000000000001be_0,596,333.0,-9.670002085401677,-38.67000211884278,1134.638888888889,123.92156862745098,43.64705882352941,166.13725490196077,223.08987,83.28104575163398,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026d_0,596,334.0,-9.670002085401677,-38.67000211884278,1134.638888888889,123.92156862745098,43.64705882352941,166.13725490196077,223.08987,83.28104575163398,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000292_0,596,335.0,-9.670002085401677,-38.67000211884278,1134.638888888889,123.92156862745098,43.64705882352941,166.13725490196077,223.08987,83.28104575163398,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a2_0,596,336.0,-9.670002085401677,-38.67000211884278,1134.638888888889,123.92156862745098,43.64705882352941,166.13725490196077,223.08987,83.28104575163398,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046_0,113,337.0,-8.33000208693171,-65.72000158880357,915.9722222222222,396.1372549019608,183.08823529411765,139.47058823529412,262.77942,69.3970588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_0,113,338.0,-8.33000208693171,-65.72000158880357,915.9722222222222,396.1372549019608,183.08823529411765,139.47058823529412,262.77942,69.3970588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_0,113,339.0,-8.33000208693171,-65.72000158880357,915.9722222222222,396.1372549019608,183.08823529411765,139.47058823529412,262.77942,69.3970588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099_0,113,340.0,-8.33000208693171,-65.72000158880357,915.9722222222222,396.1372549019608,183.08823529411765,139.47058823529412,262.77942,69.3970588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c6_0,113,341.0,-8.33000208693171,-65.72000158880357,915.9722222222222,396.1372549019608,183.08823529411765,139.47058823529412,262.77942,69.3970588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f8_0,113,342.0,-8.33000208693171,-65.72000158880357,915.9722222222222,396.1372549019608,183.08823529411765,139.47058823529412,262.77942,69.3970588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000200_0,113,343.0,-8.33000208693171,-65.72000158880357,915.9722222222222,396.1372549019608,183.08823529411765,139.47058823529412,262.77942,69.3970588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000214_0,113,344.0,-8.33000208693171,-65.72000158880357,915.9722222222222,396.1372549019608,183.08823529411765,139.47058823529412,262.77942,69.3970588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000271_0,113,345.0,-8.33000208693171,-65.72000158880357,915.9722222222222,396.1372549019608,183.08823529411765,139.47058823529412,262.77942,69.3970588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
